,Unnamed: 0,Characters,Gender,Movie,Word_count
0,30,Leia,Female,Return of the Jedi,364
1,31,Mon Mothma,Female,Return of the Jedi,92
2,32,Luke,Male,Return of the Jedi,936
3,33,Han,Male,Return of the Jedi,830
4,34,Emperor,Male,Return of the Jedi,511
5,35,Ben,Male,Return of the Jedi,453
6,36,Vader,Male,Return of the Jedi,383
7,37,Lando,Male,Return of the Jedi,378
8,38,Ackbar,Male,Return of the Jedi,179
9,39,Yoda,Male,Return of the Jedi,161
10,40,Wedge,Male,Return of the Jedi,64
11,41,Commander,Male,Return of the Jedi,59
12,42,Piett,Male,Return of the Jedi,58
13,43,Jerjerrod,Male,Return of the Jedi,51
14,44,General Madine,Male,Return of the Jedi,37
15,45,Boushh,Male,Return of the Jedi,24
16,46,Stormtrooper,Male,Return of the Jedi,21
17,47,Bib,Male,Return of the Jedi,18
18,48,Controller,Male,Return of the Jedi,15
19,49,Rebel Pilot,Male,Return of the Jedi,13
20,50,Control Room Commander,Male,Return of the Jedi,9
21,51,Jabba,Male,Return of the Jedi,6
22,52,Oola,Male,Return of the Jedi,6
23,53,Bunker Commander,Male,Return of the Jedi,5
24,54,Scout,Male,Return of the Jedi,5
25,55,Pilot,Male,Return of the Jedi,3
26,56,Han And Luke,Male,Return of the Jedi,1
27,57,Threepio,Robots,Return of the Jedi,866
28,58,Ninedenine,Robots,Return of the Jedi,71
29,59,Leia,Female,The Empire Strikes Back,775
30,60,Woman Controller,Female,The Empire Strikes Back,5
31,61,Han,Male,The Empire Strikes Back,1580
32,62,Luke,Male,The Empire Strikes Back,989
33,63,Yoda,Male,The Empire Strikes Back,762
34,64,Vader,Male,The Empire Strikes Back,667
35,65,Lando,Male,The Empire Strikes Back,618
36,66,Piett,Male,The Empire Strikes Back,185
37,67,Ben,Male,The Empire Strikes Back,143
38,68,Rieekan,Male,The Empire Strikes Back,128
39,69,Veers,Male,The Empire Strikes Back,87
40,70,Needa,Male,The Empire Strikes Back,82
41,71,Zev,Male,The Empire Strikes Back,70
42,72,Deck Officer,Male,The Empire Strikes Back,62
43,73,Ozzel,Male,The Empire Strikes Back,57
44,74,Emperor,Male,The Empire Strikes Back,51
45,75,Dack,Male,The Empire Strikes Back,42
46,76,Wedge,Male,The Empire Strikes Back,31
47,77,Boba Fett,Male,The Empire Strikes Back,28
48,78,Controller,Male,The Empire Strikes Back,28
49,79,Derlin,Male,The Empire Strikes Back,27
50,80,Rebel Captain,Male,The Empire Strikes Back,27
51,81,Lieutenant,Male,The Empire Strikes Back,17
52,82,Tracking Officer,Male,The Empire Strikes Back,17
53,83,Communications Officer,Male,The Empire Strikes Back,12
54,84,Senior Controller,Male,The Empire Strikes Back,12
55,85,Second Controller,Male,The Empire Strikes Back,11
56,86,Trench Officer,Male,The Empire Strikes Back,11
57,87,Janson,Male,The Empire Strikes Back,9
58,88,Hobbie,Male,The Empire Strikes Back,6
59,89,Man'S Voice,Male,The Empire Strikes Back,3
60,90,Rebel Fighter,Male,The Empire Strikes Back,2
61,91,Threepio,Robots,The Empire Strikes Back,1201
62,92,Medical Droid,Robots,The Empire Strikes Back,15
63,93,Second Threepio,Robots,The Empire Strikes Back,3
64,94,Leia,Female,A New Hope,797
65,95,Aunt Beru,Female,A New Hope,18
66,96,Camie,Female,A New Hope,14
67,97,Woman,Female,A New Hope,8
68,98,Luke,Male,A New Hope,3224
69,99,Han,Male,A New Hope,2236
70,100,Ben,Male,A New Hope,1204
71,101,Biggs,Male,A New Hope,643
72,102,Vader,Male,A New Hope,613
73,103,Tarkin,Male,A New Hope,477
74,104,Red Leader,Male,A New Hope,406
75,105,Owen,Male,A New Hope,385
76,106,Jabba,Male,A New Hope,264
77,107,Dodonna,Male,A New Hope,219
78,108,Officer,Male,A New Hope,154
79,109,Trooper,Male,A New Hope,149
80,110,Wedge,Male,A New Hope,140
81,111,Gold Leader,Male,A New Hope,119
82,112,Motti,Male,A New Hope,119
83,113,Greedo,Male,A New Hope,113
84,114,Tagge,Male,A New Hope,107
85,115,Red Ten,Male,A New Hope,62
86,116,Gold Five,Male,A New Hope,60
87,117,First Trooper,Male,A New Hope,53
88,118,Fixer,Male,A New Hope,46
89,119,Officer Cass,Male,A New Hope,37
90,120,Commander,Male,A New Hope,34
91,121,Human,Male,A New Hope,34
92,122,Gantry Officer,Male,A New Hope,33
93,123,Willard,Male,A New Hope,32
94,124,Man'S Voice,Male,A New Hope,31
95,125,Chief,Male,A New Hope,30
96,126,Imperial Officer,Male,A New Hope,29
97,127,Bartender,Male,A New Hope,25
98,128,Rebel Officer,Male,A New Hope,19
99,129,Astro-Officer,Male,A New Hope,18
100,130,Red Nine,Male,A New Hope,15
101,131,Second Trooper,Male,A New Hope,14
102,132,Gold Two,Male,A New Hope,11
103,133,Technician,Male,A New Hope,9
104,134,Chief Pilot,Male,A New Hope,5
105,135,Deak,Male,A New Hope,5
106,136,Porkins,Male,A New Hope,5
107,137,Threepio,Robots,A New Hope,1841
147,177,Padme,Female,Attack of the Clones,2343
148,178,Anakin,Male,Attack of the Clones,2061
149,179,Obi-Wan,Male,Attack of the Clones,1482
150,180,Palpatine,Male,Attack of the Clones,590
151,181,Count Dooku,Male,Attack of the Clones,584
152,182,Yoda,Male,Attack of the Clones,355
153,183,Lama Su,Male,Attack of the Clones,350
154,184,Jocasta Nu,Female,Attack of the Clones,331
155,185,Threepio,Droid,Attack of the Clones,318
156,186,Jar Jar,Male,Attack of the Clones,254
157,187,Cliegg,Male,Attack of the Clones,152
158,188,Dexter Jettster,Male,Attack of the Clones,151
159,189,Watto,Male,Attack of the Clones,140
160,190,Taun We,Female,Attack of the Clones,139
161,191,Queen Jamillia,Female,Attack of the Clones,135
162,192,Jango Fett,Male,Attack of the Clones,98
163,193,Mas Amedda,Male,Attack of the Clones,95
164,194,Sio Bibble,Male,Attack of the Clones,91
165,195,Bail Organa,Male,Attack of the Clones,89
166,196,Sola,Female,Attack of the Clones,86
167,197,Captain Typho,Male,Attack of the Clones,81
168,198,Jobal,Female,Attack of the Clones,78
169,199,Ruwee,Male,Attack of the Clones,75
170,200,Pk-4,Droid,Attack of the Clones,69
171,201,Senator Ask Aak,Male,Attack of the Clones,66
172,202,Owen,Male,Attack of the Clones,56
